title,description,pubdate
Why has Russia invaded Ukraine and what does Putin want?,"Weeks after Russia's leader unleashed war on Ukraine, there is no sign yet of when it will end.","Sun, 17 Apr 2022 09:13:22 GMT"
The elderly who can't flee their Ukrainian homes,"Intense shelling in Mykolaiv has forced many people to flee, leaving some elderly residents behind.","Mon, 18 Apr 2022 04:58:12 GMT"
'Rare condition gives me TV static in my vision',A 19-year-old from South Lanarkshire has a little known condition which constantly affects her vision.,"Wed, 20 Apr 2022 05:17:01 GMT"
Why this face recognition firm is so controversial,"If you're reading this, your face is probably on one of the more than 20bn images in this database.","Tue, 19 Apr 2022 23:15:14 GMT"
"Climate change, albinism and me",Coco shares her experience of living with albinism in Nigeria.,"Tue, 19 Apr 2022 23:01:46 GMT"
The Zomato and Swiggy riders risking their lives to deliver food in 10 minutes,The BBC followed overworked delivery riders as they raced against time to take food to customers.,"Tue, 19 Apr 2022 23:03:16 GMT"
The Easter egg that's gone uneaten for more than 70 years,Sally Evans says it was 'too valuable to eat' after her brother bought it with his first pay packet.,"Wed, 20 Apr 2022 08:32:37 GMT"
"Star Wars toy bought for 99p sells for £2,000","The collection of 37 toys sold by a fan of the movie series makes £37,500.","Wed, 20 Apr 2022 13:34:07 GMT"
CEO Secrets: 'I begged my dad not to give out business cards',"Gaby Hersham, CEO of co-working space network Huckletree, shares her business advice.","Tue, 19 Apr 2022 23:04:40 GMT"
Emmanuel Macron: From political outsider to president,"Emmanuel Macron was dismissed as an outsider five years ago. Now, he faces a new challenge: his own record.","Tue, 19 Apr 2022 23:26:46 GMT"
Partygate: Which Downing Street parties have resulted in fines so far?,The police inquiry is separate to the investigation carried out by civil servant Sue Gray.,"Tue, 19 Apr 2022 10:05:27 GMT"
Why Koreans could soon become a year younger,"The new government has proposed getting rid of the country's age systems, but experts are divided.","Wed, 20 Apr 2022 00:13:15 GMT"
Covid-19 in the UK: How many coronavirus cases are there in my area?,Explore the data on coronavirus in the UK and find out how many cases there are in your area.,"Tue, 19 Apr 2022 16:01:38 GMT"
'People fear for their jobs if they report bullies',Bafta-winning director Brian Hill on tackling bullying in his industry with new film Toxic.,"Tue, 19 Apr 2022 23:33:42 GMT"
NI election 2022: Campaigners say change needed to get more women into Stormont,"A record number of women are standing in the NI election - but more needs to change, say campaigners.","Wed, 20 Apr 2022 05:29:09 GMT"
When do parents find out about primary-school places?,Councils are contacting parents and carers with offers of primary-school places in England and Wales.,"Tue, 19 Apr 2022 13:21:31 GMT"
Daffodils to treat Alzheimer's could be Welsh hill farming's future,Pharmaceutical entrepreneur Sir Roger Jones says his industry needed more of them.,"Tue, 19 Apr 2022 04:59:46 GMT"
World Snooker Championship 2022: John Higgins goes through,Four-time champion John Higgins is made to work hard for his 10-7 first round win over Thepchaiya Un-Nooh at the World Championship in Sheffield.,"Wed, 20 Apr 2022 12:52:29 GMT"
Courtney Lawes a doubt for England's tour of Australia because of dislocated thumb,Courtney Lawes' inclusion in England's July tour of Australia could be in doubt after the forward dislocated his thumb playing for Northampton.,"Wed, 20 Apr 2022 09:31:25 GMT"
Damaris Muthee Mutua: Kenya police launch manhunt after athlete killed,Damaris Muthee Mutua is the second female runner to have been killed in the famous Iten athletics base in a year.,"Wed, 20 Apr 2022 08:37:43 GMT"
Bukayo Saka 'always wanted to be that guy' for Arsenal,Arsenal forward Bukayo Saka tells MOTDx's Josh Denzel he wants to fill the void left by Pierre-Emerick Aubameyang's departure.,"Wed, 20 Apr 2022 10:17:00 GMT"
UK elections 2022: A really simple guide,"Local elections in England, Wales and Scotland, and a general election in Northern Ireland, will happen on 5 May.","Mon, 28 Mar 2022 00:03:47 GMT"
Election 2022: Is there an election in my area?,National elections in Northern Ireland and local elections in the rest of the UK happen on 5 May 2022.,"Fri, 08 Apr 2022 16:23:20 GMT"
NI election 2022: Who should I vote for? Compare party policies,"Cost of living, health service, education and climate - compare where the parties stand on key issues.","Fri, 15 Apr 2022 16:03:19 GMT"
May 2022 UK elections: How to vote,"Voters are choosing councillors in England, Scotland and Wales, and a government in Northern Ireland.","Tue, 19 Apr 2022 07:14:42 GMT"
